state,county,tract,med_house_val,med_room,med_yrBuilt,r_se_nat,r_ed_nat,lfpr,r_he_nat,jobs_idx,schl_idx,ur,pct_ba,pct_hs,pop,white,black,CBSA,area
39,35,193800,94300,4,1961,30,5,0.516717325,12,86,10,0.11372549,0.113445378,0.783613445,1106,231,860,17460,1984578
39,35,193900,80900,4.6,1959,2,3,0.33007335,4,93,13,0.066666667,0.114021572,0.653312789,873,89,742,17460,5462341
39,35,194100,217500,7.4,1965,95,19,0.59468599,64,86,21,0.060113729,0.270410816,0.661986479,2246,1804,369,17460,17496431
39,35,194300,234000,7.1,1965,98,85,0.664489515,88,89.05433526,84.90404624,0.014485256,0.519169329,0.455271565,3372,3195,22,17460,10238173
39,35,194500,505100,8.5,1961,91,89,0.555002764,55,83.62995595,76.05506608,0.032868526,0.727602906,0.248789346,2189,1992,20,17460,23224782
39,35,194800,219000,5.6,1967,27,44,0.740805604,58,94,85,0.089834515,0.484,0.496,698,220,322,17460,865601
39,35,194900,334200,7.2,1970,92,52,0.603948897,77,92.60999097,77.39121276,0.082692308,0.694841786,0.290853923,3276,2559,505,17460,9870655
39,35,195600,105400,5.8,1962,52,12,0.634574342,42,90.48401922,20,0.047458894,0.111079219,0.800516648,4755,944,3764,17460,4496794
39,35,195700,156500,6.6,1974,47,40,0.574101428,29,94.28888889,60.03093682,0.075471698,0.337841727,0.58647482,4756,1705,2606,17460,15926055
39,35,195800,340800,8.5,1978,99,93,0.619395203,81,80.06100386,96.77606178,0.015151515,0.669137729,0.318376902,3720,3055,388,17460,13913042
39,35,195900,350300,6.9,1956,83,56,0.619239097,49,77,89,0.008991009,0.667006803,0.30170068,4108,4009,12,17460,6651752
39,35,196000,150800,6.8,1953,57,32,0.527260179,31,40.56989887,18.98631767,0.130890052,0.459659511,0.51369356,1604,631,953,17460,1609212
39,35,196100,72400,5.6,1939,27,2,0.648,17,89.52370766,16.64313725,0.084104938,0.158071749,0.705717489,2395,1854,387,17460,9460795
39,35,196200,29600,4.4,1964,3,10,0.650325546,18,60.89261745,28.32611348,0.100117786,0.145560408,0.716157205,3806,141,3499,17460,2021401
39,35,196300,484400,10,1965,96,65,0.606227106,84,83.1657713,91.15067792,0.044813696,0.78632199,0.202879581,3911,3649,50,17460,36505625
39,35,196400,56200,5,1955,2,3,0.495762712,9,67.72487161,6.283932502,0.197435897,0.053014553,0.628898129,3072,691,1748,17460,1289858
39,35,196500,52500,6.2,1939,3,1,0.564208782,7,98,0.949132256,0.274596182,0.123301985,0.618599791,1512,32,1405,17460,780029
39,55,310100,170700,6.2,1975,68,16,0.686961207,76,8.159100926,2,0.030327215,0.169354839,0.767369727,2216,2114,24,17460,66137413
39,55,310200,211200,6.8,1975,91,21,0.685945274,85,10.80060271,2,0.032638259,0.22826087,0.725543478,2020,1852,43,17460,62677780
39,55,310600,239600,7.2,1964,92,83,0.638950073,89,60.12703318,90.62199089,0.019534616,0.394039735,0.572847682,6628,6475,10,17460,32720742
39,55,310700,241200,7.3,1970,90,76,0.726284585,73,48.42731921,90.37399562,0.015419501,0.355523043,0.59290417,3661,3542,117,17460,27863112
39,55,310800,281000,8,1975,96,78,0.618962112,93,50.30720435,99,0.029010734,0.433866891,0.510320135,6658,6530,18,17460,65369378
39,55,310900,209700,6.3,1971,60,52,0.626785025,40,35.1184375,95.1359375,0.023399015,0.251256281,0.640475103,3216,3113,62,17460,57786904
39,55,311000,185300,6.6,1971,52,13,0.667491749,2,23.4239758,59.16689579,0.095797281,0.110523533,0.499206769,3662,3653,0,17460,61322438
39,55,311300,172800,6,1963,64,44,0.621830209,22,59.79147779,91.00181324,0.032801418,0.254288597,0.586276488,4440,4374,66,17460,61654647
39,55,311400,221000,7,1968,52,37,0.67033195,61,58.86870146,32.59165613,0.051377283,0.308865586,0.612249762,5559,5334,76,17460,71855095
39,55,311500,281800,7.8,1966,100,74,0.703537841,88,54.44779495,92.15963061,0,0.486138614,0.487376238,5373,5222,3,17460,52137011
39,55,311600,335100,8.4,1975,98,61,0.694604683,93,61.14435696,89,0.02344895,0.709333333,0.288761905,3776,3776,0,17460,9790315
39,55,311700,389700,7.4,1986,85,55,0.59457884,76,78.43433602,91.34849596,0.021078431,0.708737864,0.266990291,4396,3898,416,17460,18880513
39,55,311800,293700,8.1,1977,99,62,0.640251353,82,66.27306324,94,0.032988004,0.623511033,0.355399336,7063,6921,70,17460,47378464
39,55,311900,319700,7.8,1992,93,54,0.681084198,84,44.37451498,94,0.024837708,0.484088928,0.484742807,6506,6224,1,17460,71690490
39,55,312000,182100,6.8,1978,73,19,0.637571998,19,57.63905748,97,0.015983322,0.231088083,0.569430052,2827,2792,13,17460,64870073
39,55,312100,190000,6.9,1976,54,10,0.674512688,3,34.21181312,30,0.007088332,0.159242192,0.356886841,4148,4074,1,17460,69504754
39,55,312201,194900,5.6,1972,70,80,0.625412179,79,69.7805915,85.74454713,0.017223199,0.29738645,0.640446587,5426,5291,80,17460,13612547
39,55,312202,257100,7.4,1976,96,78,0.653015428,75,34.15891742,83.28475596,0.012027491,0.365335052,0.617912371,4369,4216,23,17460,56994686
39,55,312203,213000,6.6,1989,89,78,0.66622411,85,14.24393907,93.77665737,0.026703866,0.316436252,0.61812596,4712,4332,148,17460,57700346
39,55,312300,164700,5.4,1976,45,25,0.633898305,26,88.98061598,30,0.012340601,0.156303676,0.538646513,4902,4761,98,17460,32389904
39,55,312400,165000,6.3,1980,33,15,0.663289631,3,76.89190252,30,0.025157233,0.112068966,0.35862069,2285,2270,7,17460,34436812
39,85,200100,143300,4.8,1961,71,66,0.706624606,63,15,58,0.078571429,0.27994122,0.655400441,1807,1477,330,17460,927222
39,85,200200,105400,6,1955,59,58,0.755721393,28,25.26214312,58,0.057932851,0.151047409,0.772326351,2516,2247,122,17460,923427
39,85,200300,117700,6.1,1957,79,55,0.670320747,58,30.51824818,68.5487724,0.038158692,0.25066313,0.684792219,3215,3115,0,17460,1492748
